Year	n_risk	n_CRC	n_lgd
1	10000	0	0
2	10000	0	0
3	10000	0	0
4	10000	0	0
5	10000	0	0
6	10000	0	0
7	10000	0	0
8	10000	0	0
9	10000	0	0
10	10000	0	0
11	10000	0	0
12	10000	1	0
13	9999	0	0
14	9999	0	0
15	9999	0	0
16	9999	0	0
17	9999	0	0
18	9999	0	0
19	9999	0	0
20	9999	1	0
21	9998	1	0
22	9997	0	0
23	9997	0	0
24	9997	2	0
25	9995	1	0
26	9994	0	0
27	9994	0	0
28	9994	1	1
29	9993	1	1
30	9992	2	1
31	9990	1	1
32	9989	1	2
33	9988	3	4
34	9985	3	6
35	9982	1	7
36	9981	2	10
37	9979	3	13
38	9976	3	12
39	9973	7	12
40	9966	3	13
41	9963	2	14
42	9961	3	15
43	9958	4	15
44	9954	2	17
45	9952	4	15
46	9948	6	14
47	9942	9	16
48	9933	7	12
49	9926	10	10
50	9916	10	1458
51	9906	9	1452
52	9897	16	1445
53	9881	18	1437
54	9863	13	1427
55	9850	25	1417
56	9825	23	1400
57	9802	14	1386
58	9788	19	1377
59	9769	31	1370
60	9738	22	2852
61	9716	24	2833
62	9692	32	2810
63	9660	34	2785
64	9626	35	2756
65	9591	54	2727
66	9537	52	2684
67	9485	42	2640
68	9443	58	2609
69	9385	54	2564
70	9331	77	4237
71	9254	53	4165
72	9201	57	4114
73	9144	52	4062
74	9092	76	4012
75	9016	84	3937
76	8932	82	3859
77	8850	92	3849
78	8758	97	3930
79	8661	118	4000
80	8543	123	5101
